-- Initial setup, no MISO

0.478394750000000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.478474833333333,SPI,MOSI: '17' (0x11);  MISO: '0' (0x00)
0.478543666666667,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.478627166666667,SPI,MOSI: '18' (0x12);  MISO: '0' (0x00)
0.478692625000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.478770750000000,SPI,MOSI: '19' (0x13);  MISO: '0' (0x00)
0.478840083333333,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.478920166666667,SPI,MOSI: '20' (0x14);  MISO: '0' (0x00)
0.478989041666667,SPI,MOSI: '31' (0x1F);  MISO: '0' (0x00)
0.479073000000000,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)
0.479137958333333,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
0.479216583333333,SPI,MOSI: '3' (0x03);  MISO: '0' (0x00)
0.479285416666667,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.479363583333333,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.479431916666667,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.479513458333333,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.479582333333333,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.479668291666667,SPI,MOSI: '22' (0x16);  MISO: '0' (0x00)
0.479738083333333,SPI,MOSI: '192' (0xC0);  MISO: '0' (0x00)
0.479816708333333,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
0.479885083333333,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)
0.479963708333333,SPI,MOSI: A (0x41);  MISO: '0' (0x00)
0.480029125000000,SPI,MOSI: \t (0x09);  MISO: '0' (0x00) -- First byte that is different across different songs.  Everything else has been identical and continues to be.
0.480111666666667,SPI,MOSI: B (0x42);  MISO: '0' (0x00)
0.480177083333333,SPI,MOSI: v (0x76);  MISO: '0' (0x00)
0.480261083333333,SPI,MOSI: C (0x43);  MISO: '0' (0x00)
0.480330416666667,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.480409041666667,SPI,MOSI: D (0x44);  MISO: '0' (0x00)
0.480474500000000,SPI,MOSI: '19' (0x13);  MISO: '0' (0x00)
0.480557500000000,SPI,MOSI: E (0x45);  MISO: '0' (0x00)
0.480623416666667,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.480705458333333,SPI,MOSI: F (0x46);  MISO: '0' (0x00)
0.480771375000000,SPI,MOSI: '19' (0x13);  MISO: '0' (0x00)
0.480854416666667,SPI,MOSI: '4' (0x04);  MISO: '0' (0x00)
0.480919333333333,SPI,MOSI: '7' (0x07);  MISO: '0' (0x00)

-- 2 ms gap

0.482012708333333,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.482081041666667,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.482162625000000,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.482231458333333,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.482318375000000,SPI,MOSI: '7' (0x07);  MISO: '0' (0x00)
0.482387708333333,SPI,MOSI: '26' (0x1A);  MISO: '0' (0x00)
0.482471458333333,SPI,MOSI: '14' (0x0E);  MISO: '0' (0x00)
0.482537375000000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
