Time [s], Analyzer Name, Decoded Protocol Result
0.998599312500000,SPI,MOSI: '17' (0x11);  MISO: '0' (0x00)
0.998664750000000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.998748250000000,SPI,MOSI: '18' (0x12);  MISO: '0' (0x00)
0.998813687500000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.998891812500000,SPI,MOSI: '19' (0x13);  MISO: '0' (0x00)
0.998961125000000,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.999044625000000,SPI,MOSI: '20' (0x14);  MISO: '0' (0x00)
0.999110062500000,SPI,MOSI: '31' (0x1F);  MISO: '0' (0x00)
0.999194062500000,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)
0.999259000000000,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
0.999341062500000,SPI,MOSI: '3' (0x03);  MISO: '0' (0x00)
0.999406500000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.999484625000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.999553000000000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.999637937500000,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.999703375000000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.999789312500000,SPI,MOSI: '22' (0x16);  MISO: '0' (0x00)
0.999859125000000,SPI,MOSI: '192' (0xC0);  MISO: '0' (0x00)
0.999937750000000,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
1.000006125000000,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)
1.000084750000000,SPI,MOSI: A (0x41);  MISO: '0' (0x00)
1.000153625000000,SPI,MOSI: '4' (0x04);  MISO: '0' (0x00)
1.000232250000000,SPI,MOSI: B (0x42);  MISO: '0' (0x00)
1.000297687500000,SPI,MOSI: v (0x76);  MISO: '0' (0x00)
1.000381625000000,SPI,MOSI: C (0x43);  MISO: '0' (0x00)
1.000451000000000,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
1.000529625000000,SPI,MOSI: D (0x44);  MISO: '0' (0x00)
1.000595062500000,SPI,MOSI: '19' (0x13);  MISO: '0' (0x00)
1.000678062500000,SPI,MOSI: E (0x45);  MISO: '0' (0x00)
1.000747375000000,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
1.000826000000000,SPI,MOSI: F (0x46);  MISO: '0' (0x00)
1.000891937500000,SPI,MOSI: '19' (0x13);  MISO: '0' (0x00)
